Vp,Vs,V - Vs
0.0082627808,0.00467215424,0.25044168
0.0111334264,0.00559253248,0.352081408
0.013901208,0.0065079488,0.451282592
0.0166606352,0.00748541376,0.553014976
0.0193644256,0.00845779328,0.65150592
0.022192032,0.0094653824,0.75128576
0.0251551552,0.0105289104,0.851667904
0.0281233696,0.011581916,0.950296704
0.029678096,0.0121329472,1.00131288
0.0329762688,0.0133000072,1.10914184
0.0359878784,0.014369544,1.20335208
0.0393639264,0.01557792,1.3076364
0.0425674944,0.0167124048,1.40366432
0.0459843104,0.017937184,1.50555232
0.0494222144,0.019170568,1.6075808
0.0528025312,0.0203900352,1.7069448
0.0562371904,0.0216168704,1.80585456
0.0594971968,0.0228009232,1.900116
0.0629354048,0.02409076,2.00258
0.0699066304,0.0266068608,2.19877072
0.0781371264,0.0295656992,2.42789104
0.08550128,0.032032368,2.62146384
0.0930926784,0.0346528064,2.82094176
0.101896712,0.0374544736,3.03987744
0.119627504,0.043357056,3.50398336
0.141335392,0.0500178592,4.02172416
0.162501344,0.0566199744,4.50784096
0.183920576,0.0638738944,5.01838624
0.226951888,0.0782711168,5.99836736
0.280404416,0.0944216704,7.04686144
0.337584,0.109617008,8.01141056
0.408438016,0.126523184,9.02990912
0.469675552,0.14435928,10.0485936
