Vp,Vs,V - Vs
5.67066624e-06,1.94993296e-06,-2.1002424
9.20087104e-07,1.29847648e-07,-2.19987056
2.24055424e-06,6.48897152e-07,-2.30082464
1.90458176e-07,5.53204224e-07,-2.39995664
3.31623776e-06,8.79726912e-08,-2.50007632
-2.06807536e-06,4.46681024e-07,-2.60088544
-3.6397744e-06,-4.78798496e-07,-2.70093696
5.60301888e-07,-3.05466528e-07,-2.8008032
-1.82242944e-06,-1.49997264e-06,-2.898576
3.70447104e-06,-1.71518096e-06,-2.99993568
